locationid,Applicant,FacilityType,LocationDescription,Address,Status,FoodItems,Latitude,Longitude
525837,May Catering,Truck,JAMESTOWN AVE: GRIFFITH ST to CORONADO ST (800 - 850),800 JAMESTOWN AVE,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.716443,-122.3899379
525565,Singh Brothers Ice Cream,Truck,GRIFFITH ST: INGERSON AVE to JAMESTOWN AVE (2900 - 2999),2900 GRIFFITH ST,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.71699129,-122.3895991
528584,Golden Catering,Truck,JAMESTOWN AVE: GRIFFITH ST to CORONADO ST (800 - 850),835 JAMESTOWN AVE,APPROVED,Cold Truck: Pre-packaged Sandwiches: Various Beverages: Salads: Snacks,37.71717416,-122.3922225
525839,May Catering,Truck,HAWES ST: INGERSON AVE to JAMESTOWN AVE (2900 - 2999),2930 HAWES ST,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.71777945,-122.3916548
525568,Singh Brothers Ice Cream,Truck,JENNINGS ST: KEY AVE to LE CONTE AVE (3400 - 3499),3444 JENNINGS ST,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.71852205,-122.3966614
525844,May Catering,Truck,LE CONTE AVE: 03RD ST to KEITH ST (1039 - 1099),1075 LE CONTE AVE,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.71878808,-122.398106
525563,Singh Brothers Ice Cream,Truck,HOLLISTER AVE: HAWES ST to INGALLS ST (1000 - 1099),1000 HOLLISTER AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.71893982,-122.3905179
525567,Singh Brothers Ice Cream,Truck,KEY AVE: JENNINGS ST to 03RD ST (1000 - 1068),1060 KEY AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.71920022,-122.3959767
525795,May Catering,Truck,LE CONTE AVE: 03RD ST to KEITH ST (1039 - 1099),1098 LE CONTE AVE,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.71943172,-122.3981395
525572,Singh Brothers Ice Cream,Truck,FITZGERALD AVE: HAWES ST to INGALLS ST (1100 - 1199),1104 FITZGERALD AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.72017472,-122.3894071
525564,Singh Brothers Ice Cream,Truck,INGERSON AVE: JENNINGS ST to 03RD ST (1100 - 1199),1173 INGERSON AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.72044936,-122.395915
532490,May Sun Kitchen,Truck,DONNER AVE: HAWES ST to INGALLS ST (1300 - 1399),1347 DONNER AVE,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,37.72145084,-122.3893534
570016,Eva's Catering,Truck,INGALLS ST: CARROLL AVE to DONNER AVE (2600 - 2699),2600 INGALLS ST,REQUESTED,Corndogs: fried burrito: rice placet: soda: water: sandwiches: soup: noodle plates,37.72262922,-122.3900618
525569,Singh Brothers Ice Cream,Truck,DONNER AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1475 DONNER AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.72279369,-122.3917197
569041,Liang Bai Ping,Truck,DONNER AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1450 DONNER AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72305651,-122.3911119
532497,May Sun Kitchen,Truck,ARMSTRONG AVE: HAWES ST to INGALLS ST (1300 - 1399),1315 ARMSTRONG AVE,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,37.72307876,-122.3875257
569028,Liang Bai Ping,Truck,DONNER AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1475 CARROLL AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72325987,-122.3911729
532491,May Sun Kitchen,Truck,CARROLL AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1420 CARROLL AVE,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,37.72357686,-122.3900591
526129,Bach Catering,Truck,BANCROFT AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1455 BANCROFT AVE,APPROVED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,37.72372854,-122.3903264
569030,Liang Bai Ping,Truck,YOSEMITE AVE: HAWES ST to INGALLS ST (1300 - 1399),1335 YOSEMITE AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72387884,-122.3870109
532492,May Sun Kitchen,Truck,03RD ST: EGBERT AVE to FITZGERALD AVE (6000 - 6170) -- WEST --,6000 03RD ST,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,37.7239799,-122.3959035
525831,May Catering,Truck,DONNER AVE: END to 03RD ST (1600 - 1699),1600 DONNER AVE,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.72400911,-122.3929868
569042,Liang Bai Ping,Truck,BANCROFT AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1440 BANCROFT AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72417289,-122.3897354
532141,San Pancho's Tacos,Truck,CAPITOL AVE: DE MONTFORT AVE to OCEAN AVE (1200 - 1299),1271 CAPITOL AVE,APPROVED,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks,37.72429778,-122.4593773
569037,Liang Bai Ping,Truck,BANCROFT AVE: JENNINGS ST to KEITH ST (1500 - 1599),1555 BANCROFT AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72439753,-122.3915051
569043,Liang Bai Ping,Truck,BANCROFT AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1460 BANCROFT AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72441324,-122.3901572
525574,Singh Brothers Ice Cream,Truck,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1420 YOSEMITE AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.7251817,-122.3881927
569029,Liang Bai Ping,Truck,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1420 YOSEMITE AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.7251817,-122.3881927
526126,Bach Catering,Truck,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1485 YOSEMITE AVE,APPROVED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,37.72529572,-122.3897657
569036,Liang Bai Ping,Truck,GRIFFITH ST: SHAFTER AVE to THOMAS AVE (1500 - 1599),1515 GRIFFITH ST,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72531943,-122.3813892
525570,Singh Brothers Ice Cream,Truck,BANCROFT AVE: JENNINGS ST to KEITH ST (1500 - 1599),1562 BANCROFT AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.7254507,-122.3919916
569054,Liang Bai Ping,Truck,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1430 YOSEMITE AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72549805,-122.3883692
521861,BHUK Burger,Truck,PHELAN AVE: GENEVA AVE \ OCEAN AVE to JUDSON AVE (1 - 199),11 PHELAN AVE,APPROVED,Pakistani Indian food: and salad: cold and hot drinks: Pakistani soft drinks: Sohan halva: Pakistani Indian desserts: and fruit dessert,37.72557699,-122.4541528
569052,Liang Bai Ping,Truck,QUESADA AVE: ARELIOUS WALKER DR to GRIFFITH ST (1000 - 1099),1031 QUESADA AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72578914,-122.3789727
532730,Tacos El Primo,Truck,JENNINGS ST: WALLACE AVE to YOSEMITE AVE (2200 - 2299),1495 WALLACE AVE,APPROVED,Mexican food: tacos: burritos: tortas: various meat and chicken and fish plate: chile relleno plate: fish plate: bread: flan: rice pudding: bread: fruit juice: vegetable juice: coffee: tea,37.7259305,-122.3892156
569034,Liang Bai Ping,Truck,SHAFTER AVE: GRIFFITH ST to HAWES ST (1100 - 1199),1127 SHAFTER AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72594556,-122.3822812
526131,Bach Catering,Truck,EGBERT AVE: END to NEWHALL ST (1700 - 1798),1785 EGBERT AVE,APPROVED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,37.72608617,-122.3983324
569035,Liang Bai Ping,Truck,THOMAS AVE: GRIFFITH ST to HAWES ST (1100 - 1199),1180 THOMAS AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72612524,-122.3831993
569045,Liang Bai Ping,Truck,WALLACE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1450 WALLACE AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72614569,-122.3882277
569040,Liang Bai Ping,Truck,VAN DYKE AVE: INGALLS ST to JENNINGS ST (1300 - 1399),1337 VAN DYKE AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72624948,-122.3878154
528160,Park's Catering,Truck,ARELIOUS WALKER DR: PALOU AVE to QUESADA AVE (1300 - 1399),Assessors Block 4755/Lot049,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.72638293,-122.3784348
569051,Liang Bai Ping,Truck,REVERE AVE: GRIFFITH ST to CRISP RD (1100 - 1188),1135 REVERE AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72647072,-122.3815412
569048,Liang Bai Ping,Truck,HAWES ST: SHAFTER AVE to THOMAS AVE (1500 - 1599),1153 SHAFTER AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72648516,-122.3832325
569031,Liang Bai Ping,Truck,REVERE AVE: GRIFFITH ST to CRISP RD (1100 - 1188),1145 REVERE AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72659048,-122.3817522
569039,Liang Bai Ping,Truck,THOMAS AVE: HAWES ST to INGALLS ST (1200 - 1299),1212 THOMAS AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72666477,-122.3841442
525578,Singh Brothers Ice Cream,Truck,SHAFTER AVE: HAWES ST to INGALLS ST (1200 - 1299),1207 SHAFTER AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.72670827,-122.3836249
569049,Liang Bai Ping,Truck,THOMAS AVE: HAWES ST to INGALLS ST (1200 - 1299),1265 THOMAS AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72670968,-122.3852947
569044,Liang Bai Ping,Truck,WALLACE AVE: JENNINGS ST to KEITH ST (1500 - 1599),1500 WALLACE AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72672579,-122.3892499
525575,Singh Brothers Ice Cream,Truck,JENNINGS ST: VAN DYKE AVE to WALLACE AVE (2100 - 2199),2115 JENNINGS ST,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.72672798,-122.3886584
569047,Liang Bai Ping,Truck,JENNINGS ST: VAN DYKE AVE to WALLACE AVE (2100 - 2199),2115 JENNINGS ST,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72672798,-122.3886584
569046,Liang Bai Ping,Truck,PALOU AVE: END to GRIFFITH ST (904 - 999),931 PALOU AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72673391,-122.378972
569032,Liang Bai Ping,Truck,VAN DYKE AVE: INGALLS ST to JENNINGS ST (1300 - 1399),1370 VAN DYKE AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72695076,-122.38798
569038,Liang Bai Ping,Truck,UNDERWOOD AVE: INGALLS ST to JENNINGS ST (1300 - 1399),1351 UNDERWOOD AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72701466,-122.3874974
569057,Liang Bai Ping,Truck,GRIFFITH ST: QUESADA AVE to REVERE AVE (1300 - 1399),1300 GRIFFITH ST,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72708663,-122.3810744
569033,Liang Bai Ping,Truck,UNDERWOOD AVE: INGALLS ST to JENNINGS ST (1300 - 1399),1389 UNDERWOOD AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72711043,-122.3882613
526132,Bach Catering,Truck,EGBERT AVE: NEWHALL ST to PHELPS ST (1800 - 1899),1843 EGBERT AVE,APPROVED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,37.72716547,-122.4010939
525571,Singh Brothers Ice Cream,Truck,WALLACE AVE: JENNINGS ST to KEITH ST (1500 - 1599),1550 WALLACE AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.72716807,-122.3900291
532488,May Sun Kitchen,Truck,NEWHALL ST: BITTING AVE to EGBERT AVE (2660 - 2899),2660 NEWHALL ST,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,37.72721217,-122.3996363
569050,Liang Bai Ping,Truck,REVERE AVE: GRIFFITH ST to CRISP RD (1100 - 1188),1160 REVERE AVE,REQUESTED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72723401,-122.3818155
526128,Bach Catering,Truck,EGBERT AVE: NEWHALL ST to PHELPS ST (1800 - 1899),1828 EGBERT AVE,APPROVED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,37.7275936,-122.4001172
525577,Singh Brothers Ice Cream,Truck,QUESADA AVE: CRISP RD to HAWES ST (1170 - 1199),1191 QUESADA AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.72774449,-122.3821074
525573,Singh Brothers Ice Cream,Truck,PALOU AVE: HAWES ST to INGALLS ST (1100 - 1199),1101 PALOU AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.72867144,-122.3818651
526127,Bach Catering,Truck,YOSEMITE AVE: LANE ST to MENDELL ST (1700 - 1799),1760 YOSEMITE AVE,APPROVED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,37.72875548,-122.3944089
528125,Quan Catering,Truck,LANE ST: VAN DYKE AVE to 03RD ST (2100 - 2199),2111 LANE ST,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.72878796,-122.3922948
550721,Two G's Catering,Truck,WILLIAMS AVE: CERES ST to MENDELL ST (65 - 99),71 WILLIAMS AVE,APPROVED,Cold Truck: Hot & Cold Sandwiches: Bagels: Burritos: Soups: Hot Dogs: Tacos: Pork Buns: BBQ Meat: Fruit: Various Beverages: Pasties: Pre-Packaged Snacks: Candy: Salads: Muffins: Scones: Brownies: Croissants: Energy Bars: Noodle Bowls,37.72922334,-122.3946131
525580,Singh Brothers Ice Cream,Truck,KISKA RD: DORMITORY RD \ KIRKWOOD AVE to REARDON RD (141 - 199),195 KISKA RD,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.72943829,-122.3766578
526152,A Taste of Chicago,Push Cart,WILLIAMS AVE: APOLLO ST to PHELPS ST \ VESTA ST (300 - 399),345 WILLIAMS AVE,REQUESTED,Breakfast sandwiches: mixed coffee drinks: fried chicken: hamburgers: hot dogs: hot links: tacos: pizza: rotisserrie chicken: fish sticks: deli sandwiches: burritos: philly cheese steak: rice: baked potato: cold beverages: teas: juices: salads: bbq ribs: french fries: yogurt and bread,37.72980548,-122.3992471
532729,Tacos El Primo,Truck,WILLIAMS AVE: APOLLO ST to PHELPS ST \ VESTA ST (300 - 399),345 WILLIAMS AVE,APPROVED,Mexican food: tacos: burritos: tortas: various meat and chicken and fish plate: chile relleno plate: fish plate: bread: flan: rice pudding: bread: fruit juice: vegetable juice: coffee: tea,37.72980548,-122.3992471
453012,Tacos Santana,Truck,CARROLL AVE: QUINT ST to BAY SHORE BLVD \ THORNTON AVE (2100 - 2199),2101 CARROLL AVE,REQUESTED,Tacos: Burritos : Tortas: Quesadillas & Beverages,37.73022168,-122.4029785
525579,Singh Brothers Ice Cream,Truck,INGALLS ST: GEORGE CT to OAKDALE AVE (1300 - 1399),1309 INGALLS ST,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.73037424,-122.3818619
528141,Park's Catering,Truck,INNES AVE: EARL ST to ARELIOUS WALKER DR (700 - 799),Assessors Block 4644/Lot008,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.73090615,-122.3733026
528161,Park's Catering,Truck,INNES AVE: ARELIOUS WALKER DR to GRIFFITH ST (800 - 899),Assessors Block 4645/Lot015,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.73213495,-122.3753981
526123,Bach Catering,Truck,SAN BRUNO AVE: HALE ST to SILVER AVE (2362 - 2399),2380 SAN BRUNO AVE,APPROVED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,37.73255647,-122.4058547
519939,Bob Johnson,Truck,REVERE AVE: 03RD ST \ BAY VIEW ST to BRIDGEVIEW DR \ NEWHALL ST (1700 - 1799),1709 REVERE AVE,APPROVED,Watermelon,37.73255958,-122.3920632
429253,Your Community Foods,Truck,03RD ST: QUESADA AVE to BAY VIEW ST \ REVERE AVE (5000 - 5098) -- WEST --,5048 03RD ST,EXPIRED,Wraps: Sandwiches: Chicken Wings: Fries: Lemonade: Juices,37.73279449,-122.3917683
437216,Natan's Catering,Truck,ALEMANY BLVD: FOLSOM ST to ELLSWORTH ST \ I-280 S OFF RAMP \ I-280 S ON RAMP (400 - 498) -- NORTH --,400 ALEMANY BLVD,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.7331424,-122.4145686
543491,Natan's Catering,Truck,ALEMANY BLVD: FOLSOM ST to ELLSWORTH ST \ I-280 S OFF RAMP \ I-280 S ON RAMP (400 - 498) -- NORTH --,400 ALEMANY BLVD,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.7331424,-122.4145686
525576,Singh Brothers Ice Cream,Truck,HARBOR RD: NORTHRIDGE RD to INGALLS ST (1 - 299),297 HARBOR RD,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.73343881,-122.3804675
528585,Golden Catering,Truck,CRESCENT AVE: ANDERSON ST to ELLSWORTH ST (600 - 699),601 CRESCENT AVE,APPROVED,Cold Truck: Pre-packaged Sandwiches: Various Beverages: Salads: Snacks,37.7350053,-122.4154174
525845,May Catering,Truck,EVANS AVE: HUNTERS POINT BLVD to JENNINGS ST \ MIDDLE POINT RD (1031 - 1099),1059 EVANS AVE,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.73657218,-122.3782097
526084,F & C Catering,Truck,EVANS AVE: HUNTERS POINT BLVD to JENNINGS ST \ MIDDLE POINT RD (1031 - 1099),1000 EVANS AVE,APPROVED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,37.73772687,-122.3765729
528159,Park's Catering,Truck,EVANS AVE: HUNTERS POINT BLVD to JENNINGS ST \ MIDDLE POINT RD (1031 - 1099),1000 EVANS AVE,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.73772687,-122.3765729
526130,Bach Catering,Truck,OAKDALE AVE: QUINT ST to RANKIN ST (1900 - 1999),1900 OAKDALE AVE,APPROVED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,37.73830202,-122.3960361
